Time	Open	High	Low	Close
2026.01.02 01:00:00	1.347040	1.347660	1.346840	1.347330
2026.01.02 02:00:00	1.347330	1.348220	1.347130	1.348090
2026.01.02 03:00:00	1.348090	1.348740	1.348030	1.348720
2026.01.02 04:00:00	1.348730	1.349070	1.348600	1.348760
2026.01.02 05:00:00	1.348760	1.348950	1.348370	1.348620
2026.01.02 06:00:00	1.348620	1.348710	1.347730	1.347820
2026.01.02 07:00:00	1.347820	1.348040	1.346920	1.347080
2026.01.02 08:00:00	1.347070	1.347120	1.346320	1.346730
2026.01.02 09:00:00	1.346740	1.347020	1.345720	1.346360
2026.01.02 10:00:00	1.346350	1.346820	1.344880	1.345330
2026.01.02 11:00:00	1.345320	1.346370	1.345040	1.345450
2026.01.02 12:00:00	1.345460	1.345800	1.344380	1.344940
2026.01.02 13:00:00	1.344940	1.345200	1.343370	1.344040
2026.01.02 14:00:00	1.344040	1.344880	1.343550	1.344500
2026.01.02 15:00:00	1.344510	1.345910	1.344180	1.345700
2026.01.02 16:00:00	1.345700	1.346770	1.345300	1.346430
2026.01.02 17:00:00	1.346390	1.350150	1.346380	1.349640
2026.01.02 18:00:00	1.349640	1.349810	1.347270	1.347730
2026.01.02 19:00:00	1.347740	1.347780	1.346090	1.346230
2026.01.02 20:00:00	1.346230	1.346330	1.344580	1.345090
2026.01.02 21:00:00	1.345100	1.345740	1.344690	1.345440
2026.01.02 22:00:00	1.345440	1.345690	1.344910	1.345620
2026.01.02 23:00:00	1.345610	1.346650	1.345470	1.345640
2026.01.05 00:00:00	1.345070	1.345910	1.344740	1.344790
2026.01.05 01:00:00	1.344970	1.345600	1.343680	1.343730
2026.01.05 02:00:00	1.343730	1.344750	1.343690	1.344280
2026.01.05 03:00:00	1.344280	1.344830	1.343790	1.343970
2026.01.05 04:00:00	1.343970	1.344220	1.342520	1.343060
2026.01.05 05:00:00	1.343070	1.343560	1.341360	1.341540
2026.01.05 06:00:00	1.341510	1.342770	1.341380	1.342510
2026.01.05 07:00:00	1.342470	1.343140	1.342240	1.342750
2026.01.05 08:00:00	1.342750	1.343660	1.342010	1.343530
2026.01.05 09:00:00	1.343530	1.343640	1.342010	1.342230
2026.01.05 10:00:00	1.342230	1.343820	1.341690	1.342530
