Open Time;Status;Magic;Symbol;Type;Timeframe;Pattern (Size);Higher Trend;Higher RSI;Spread vs Base;Top News;Vol Steps (Lot);Vol Steps ($);Min Requied Capital ($);Entry Prices;RiskFree Prices;Target Prices;Action Prices;Liquidity Price;Max Step;Max Virtual Step;Profit;Close Time
2025.04.08 01:01;Close;10001;AUDCAD_l;Short;m1;Major(96);Downtrend;Neutral (54.4);Normal (27 vs 41 points);No News;2.00|4.00|6.00|8.00|10.00;119.86|239.73|359.59|479.46|599.32;53.63;0.85346|0.85387|0.85469|0.85592|0.85756;0.85319|0.85346|0.85394|0.85463|0.85551;0.85237|0.85305|0.85353|0.85422|0.85510;0.85155|0.85264|0.85312|0.85381|0.85469;0.86002;3;3;922.66;2025.04.08 03:01
2025.04.08 03:15;Close;10002;AUDCAD_l;Short;m1;Mid Major(65);Downtrend;Neutral (59.6);Normal (4 vs 78 points);No News;2.00|4.00|6.00|8.00|10.00;120.25|240.49|360.74|480.98|601.23;94.04;0.85491|0.85569|0.85725|0.85959|0.86271;0.85487|0.85539|0.85630|0.85760|0.85929;0.85331|0.85461|0.85552|0.85682|0.85851;0.85175|0.85383|0.85474|0.85604|0.85773;0.86739;1;1;445.92;2025.04.08 04:00
2025.04.08 05:14;Close;10003;AUDCAD_l;Short;m1;Minor(37);Downtrend;Neutral (53.5);Normal (8 vs 54 points);No News;2.00|4.00|6.00|8.00|10.00;120.46|240.92|361.37|481.83|602.29;68.08;0.85379|0.85433|0.85541|0.85703|0.85919;0.85371|0.85407|0.85470|0.85560|0.85677;0.85263|0.85353|0.85416|0.85506|0.85623;0.85155|0.85299|0.85362|0.85452|0.85569;0.86243;5;6;2460.72;2025.04.08 17:58
2025.04.08 12:42;Close;10004;AUDCAD_l;Long;m1;Super Minor(17);Downtrend;Neutral (48.1);Normal (8 vs 52 points);No News;2.00|4.00|6.00|8.00|10.00;120.79|241.58|362.37|483.16|603.95;65.84;0.85716|0.85664|0.85560|0.85404|0.85196;0.85724|0.85689|0.85629|0.85542|0.85429;0.85828|0.85741|0.85681|0.85594|0.85481;0.85828|0.85741|0.85681|0.85594|0.85481;0.84884;1;1;147.94;2025.04.08 13:06
2025.04.08 17:25;Close;10005;AUDCAD_l;Long;m1;Minor(44);Downtrend;Neutral (51.2);Normal (7 vs 70 points);No News;2.00|4.00|6.00|8.00|10.00;121.27|242.53|363.80|485.06|606.33;85.71;0.85867|0.85797|0.85657|0.85447|0.85167;0.85874|0.85827|0.85746|0.85629|0.85477;0.86014|0.85897|0.85816|0.85699|0.85547;0.86014|0.85897|0.85816|0.85699|0.85547;0.84747;5;6;1652.10;2025.04.09 10:58
2025.04.09 04:16;Close;10006;AUDCAD_l;Short;m1;Minor(31);Downtrend;Neutral (54.0);Normal (9 vs 84 points);No News;2.00|4.00|6.00|8.00|10.00;119.52|239.05|358.57|478.10|597.62;100.49;0.85006|0.85090|0.85258|0.85510|0.85846;0.84997|0.85053|0.85151|0.85291|0.85473;0.84829|0.84969|0.85067|0.85207|0.85389;0.84661|0.84885|0.84983|0.85123|0.85305;0.86350;3;3;1499.40;2025.04.09 06:44
2025.04.09 09:54;Close;10007;AUDCAD_l;Short;m1;Minor(39);Downtrend;Neutral (64.6);Normal (7 vs 85 points);No News;2.00|4.00|6.00|8.00|10.00;120.15|240.29|360.44|480.58|600.73;101.76;0.85312|0.85397|0.85567|0.85822|0.86162;0.85305|0.85362|0.85461|0.85603|0.85787;0.85135|0.85277|0.85376|0.85518|0.85702;0.84965|0.85192|0.85291|0.85433|0.85617;0.86672;3;3;1561.13;2025.04.09 11:33
2025.04.09 13:51;Close;10008;AUDCAD_l;Short;m1;Super Minor(13);Uptrend;Neutral (69.1);Normal (6 vs 65 points);No News;2.00|4.00|6.00|8.00|10.00;120.83|241.65|362.48|483.30|604.13;80.05;0.85718|0.85783|0.85913|0.86108|0.86368;0.85712|0.85755|0.85831|0.85940|0.86080;0.85582|0.85690|0.85766|0.85875|0.86015;0.85582|0.85690|0.85766|0.85875|0.86015;0.86758;1;1;191.76;2025.04.09 13:59
2025.04.09 14:45;Close;10009;AUDCAD_l;Long;m1;Super Minor(22);Downtrend;Neutral (42.8);Normal (9 vs 95 points);No News;2.00|4.00|6.00|8.00|10.00;119.83|239.66|359.49|479.32|599.15;112.60;0.85141|0.85046|0.84856|0.84571|0.84191;0.85150|0.85087|0.84976|0.84818|0.84612;0.85340|0.85182|0.85071|0.84913|0.84707;0.85340|0.85182|0.85071|0.84913|0.84707;0.83621;1;1;266.90;2025.04.09 15:33
2025.04.09 18:41;Close;10010;AUDCAD_l;Long;m1;Mid Major(53);Downtrend;Neutral (41.3);Normal (7 vs 71 points);No News;2.00|4.00|6.00|8.00|10.00;120.00|240.00|359.99|479.99|599.99;86.55;0.85121|0.85050|0.84908|0.84695|0.84411;0.85128|0.85081|0.84998|0.84880|0.84726;0.85270|0.85152|0.85069|0.84951|0.84797;0.85270|0.85152|0.85069|0.84951|0.84797;0.83985;1;1;206.02;2025.04.09 19:15
2025.04.09 20:03;Close;10011;AUDCAD_l;Short;m1;Super Minor(12);Downtrend;Neutral (56.1);Normal (8 vs 74 points);No News;2.00|4.00|6.00|8.00|10.00;120.65|241.31|361.96|482.62|603.27;90.02;0.85446|0.85520|0.85668|0.85890|0.86186;0.85438|0.85487|0.85574|0.85697|0.85857;0.85290|0.85413|0.85500|0.85623|0.85783;0.85290|0.85413|0.85500|0.85623|0.85783;0.86630;5;8;-44427.50;2025.04.15 03:09
2025.04.09 23:06;Close;10012;AUDCAD_l;Long;m1;Super Minor(15);Uptrend;Neutral (63.9);Normal (3 vs 128 points);No News;2.00|4.00|6.00|8.00|10.00;122.69|245.38|368.06|490.75|613.44;149.78;0.86560|0.86432|0.86176|0.85792|0.85280;0.86563|0.86478|0.86328|0.86115|0.85838;0.86819|0.86606|0.86456|0.86243|0.85966;0.87075|0.86734|0.86584|0.86371|0.86094;0.84512;2;2;1108.12;2025.04.09 23:52
2025.04.10 02:40;Close;10013;AUDCAD_l;Long;m1;Super Minor(29);Uptrend;Neutral (53.4);Normal (9 vs 46 points);No News;2.00|4.00|6.00|8.00|10.00;122.68|245.35|368.03|490.70|613.38;59.74;0.86516|0.86470|0.86378|0.86240|0.86056;0.86525|0.86494|0.86441|0.86364|0.86264;0.86617|0.86540|0.86487|0.86410|0.86310;0.86709|0.86586|0.86533|0.86456|0.86356;0.85780;3;3;875.49;2025.04.10 04:02
2025.04.10 04:17;Close;10014;AUDCAD_l;Long;m1;Minor(34);Uptrend;Neutral (43.7);Normal (7 vs 90 points);No News;2.00|4.00|6.00|8.00|10.00;122.39|244.78|367.16|489.55|611.94;108.07;0.86295|0.86205|0.86025|0.85755|0.85395;0.86302|0.86242|0.86137|0.85987|0.85792;0.86482|0.86332|0.86227|0.86077|0.85882;0.86662|0.86422|0.86317|0.86167|0.85972;0.84855;1;1;510.74;2025.04.10 05:29
2025.04.10 10:37;Close;10015;AUDCAD_l;Long;m1;Super Minor(10);Uptrend;Neutral (36.7);Normal (5 vs 116 points);No News;2.00|4.00|6.00|8.00|10.00;122.93|245.86|368.80|491.73|614.66;136.88;0.86545|0.86429|0.86197|0.85849|0.85385;0.86550|0.86473|0.86337|0.86144|0.85893;0.86782|0.86589|0.86453|0.86260|0.86009;0.87014|0.86705|0.86569|0.86376|0.86125;0.84689;1;1;659.65;2025.04.10 13:08
2025.04.10 19:14;Close;10016;AUDCAD_l;Long;m1;Super Minor(16);Uptrend;Neutral (40.4);Normal (8 vs 103 points);No News;2.00|4.00|6.00|8.00|10.00;123.71|247.42|371.14|494.85|618.56;123.27;0.86605|0.86502|0.86296|0.85987|0.85575;0.86613|0.86544|0.86424|0.86253|0.86029;0.86819|0.86647|0.86527|0.86356|0.86132;0.87025|0.86750|0.86630|0.86459|0.86235;0.84957;2;2;907.49;2025.04.10 19:48
2025.04.10 20:22;Close;10017;AUDCAD_l;Long;m1;Super Minor(10);Uptrend;Neutral (43.1);Normal (6 vs 84 points);No News;2.00|4.00|6.00|8.00|10.00;123.74|247.47|371.21|494.94|618.68;102.24;0.86619|0.86535|0.86367|0.86115|0.85779;0.86625|0.86569|0.86471|0.86331|0.86149;0.86793|0.86653|0.86555|0.86415|0.86233;0.86961|0.86737|0.86639|0.86499|0.86317;0.85275;1;1;483.04;2025.04.10 21:03
2025.04.11 03:17;Close;10018;AUDCAD_l;Long;m1;Mid Major(62);Uptrend;Neutral (38.9);Normal (8 vs 93 points);No News;2.00|4.00|6.00|8.00|10.00;124.35|248.70|373.06|497.41|621.76;112.70;0.86698|0.86605|0.86419|0.86140|0.85768;0.86706|0.86644|0.86536|0.86381|0.86179;0.86892|0.86737|0.86629|0.86474|0.86272;0.87078|0.86830|0.86722|0.86567|0.86365;0.85210;3;3;1711.00;2025.04.11 03:40
2025.04.11 07:38;Close;10019;AUDCAD_l;Long;m1;Super Minor(18);Uptrend;Neutral (43.2);Normal (9 vs 68 points);No News;2.00|4.00|6.00|8.00|10.00;124.22|248.45|372.67|496.90|621.12;84.79;0.86724|0.86656|0.86520|0.86316|0.86044;0.86733|0.86688|0.86608|0.86495|0.86348;0.86869|0.86756|0.86676|0.86563|0.86416;0.87005|0.86824|0.86744|0.86631|0.86484;0.85636;4;4;2171.83;2025.04.11 13:56
2025.04.11 23:56;Close;10020;AUDCAD_l;Long;m1;Super Minor(29);Uptrend;Neutral (56.5);Normal (21 vs 51 points);No News;2.00|4.00|6.00|8.00|10.00;125.78|251.56|377.35|503.13|628.91;66.45;0.87199|0.87148|0.87046|0.86893|0.86689;0.87220|0.87186|0.87127|0.87042|0.86931;0.87322|0.87237|0.87178|0.87093|0.86982;0.87424|0.87288|0.87229|0.87144|0.87033;0.86383;2;2;624.49;2025.04.14 00:06
2025.04.14 06:43;Close;10021;AUDCAD_l;Long;m1;Major(113);Uptrend;Neutral (43.2);Normal (9 vs 37 points);No News;2.00|4.00|6.00|8.00|10.00;125.75|251.49|377.24|502.98|628.73;50.81;0.87138|0.87101|0.87027|0.86916|0.86768;0.87147|0.87122|0.87079|0.87018|0.86937;0.87221|0.87159|0.87116|0.87055|0.86974;0.87295|0.87196|0.87153|0.87092|0.87011;0.86546;1;1;212.07;2025.04.14 08:00
2025.04.14 13:02;Close;10022;AUDCAD_l;Long;m1;Minor(35);Uptrend;Neutral (54.9);Normal (9 vs 35 points);No News;2.00|4.00|6.00|8.00|10.00;126.51|253.02|379.52|506.03|632.54;48.69;0.87551|0.87516|0.87446|0.87341|0.87201;0.87560|0.87537|0.87496|0.87438|0.87362;0.87630|0.87572|0.87531|0.87473|0.87397;0.87700|0.87607|0.87566|0.87508|0.87432;0.86991;5;5;1835.15;2025.04.14 17:10
