Time	Open	High	Low	Close
2026.01.02 01:00:00	1.372050	1.372240	1.371660	1.371730
2026.01.02 02:00:00	1.371730	1.371870	1.371080	1.371170
2026.01.02 03:00:00	1.371160	1.371160	1.370640	1.370790
2026.01.02 04:00:00	1.370780	1.370980	1.370410	1.370850
2026.01.02 05:00:00	1.370850	1.370970	1.370580	1.370860
2026.01.02 06:00:00	1.370860	1.371650	1.370800	1.371520
2026.01.02 07:00:00	1.371510	1.371730	1.371250	1.371600
2026.01.02 08:00:00	1.371600	1.371830	1.371410	1.371500
2026.01.02 09:00:00	1.371500	1.371560	1.370000	1.370160
2026.01.02 10:00:00	1.370160	1.371740	1.370100	1.371440
2026.01.02 11:00:00	1.371440	1.372180	1.371290	1.372080
2026.01.02 12:00:00	1.372060	1.372500	1.371940	1.372130
2026.01.02 13:00:00	1.372120	1.372920	1.371730	1.372600
2026.01.02 14:00:00	1.372600	1.373600	1.372210	1.373380
2026.01.02 15:00:00	1.373390	1.374100	1.372260	1.373940
2026.01.02 16:00:00	1.373940	1.374690	1.373570	1.374190
2026.01.02 17:00:00	1.374200	1.374310	1.372050	1.372360
2026.01.02 18:00:00	1.372370	1.374050	1.372300	1.373850
2026.01.02 19:00:00	1.373850	1.374160	1.372400	1.373970
2026.01.02 20:00:00	1.373980	1.374740	1.373850	1.374440
2026.01.02 21:00:00	1.374440	1.374480	1.373200	1.373320
2026.01.02 22:00:00	1.373320	1.373700	1.373100	1.373250
2026.01.02 23:00:00	1.373250	1.373580	1.372660	1.373010
2026.01.05 00:00:00	1.373530	1.373980	1.373420	1.373690
2026.01.05 01:00:00	1.373570	1.374760	1.373570	1.374690
2026.01.05 02:00:00	1.374680	1.374790	1.374090	1.374620
2026.01.05 03:00:00	1.374620	1.374830	1.374260	1.374660
2026.01.05 04:00:00	1.374660	1.375360	1.374550	1.374990
2026.01.05 05:00:00	1.374990	1.376840	1.374910	1.376790
2026.01.05 06:00:00	1.376810	1.377730	1.376590	1.377010
2026.01.05 07:00:00	1.377010	1.377260	1.376680	1.376830
2026.01.05 08:00:00	1.376840	1.377220	1.376460	1.376620
2026.01.05 09:00:00	1.376630	1.378110	1.376420	1.377770
2026.01.05 10:00:00	1.377770	1.378390	1.377080	1.378280
2026.01.05 11:00:00	1.378270	1.378830	1.377730	1.377760
2026.01.05 12:00:00	1.377750	1.377760	1.376610	1.376710
2026.01.05 13:00:00	1.376710	1.376910	1.376220	1.376680
2026.01.05 14:00:00	1.376670	1.378350	1.376160	1.378240
2026.01.05 15:00:00	1.378240	1.381490	1.378230	1.379840
2026.01.05 16:00:00	1.379830	1.379950	1.377780	1.378700
2026.01.05 17:00:00	1.378600	1.378690	1.374510	1.374820
2026.01.05 18:00:00	1.374820	1.375810	1.374470	1.375730
2026.01.05 19:00:00	1.375730	1.376450	1.375560	1.376100
2026.01.05 20:00:00	1.376110	1.376380	1.375480	1.376060
2026.01.05 21:00:00	1.376070	1.376240	1.375460	1.375610
2026.01.05 22:00:00	1.375620	1.376650	1.375600	1.376230
2026.01.05 23:00:00	1.376220	1.377300	1.376020	1.376850
2026.01.06 00:00:00	1.376710	1.377140	1.376320	1.376960
2026.01.06 01:00:00	1.376930	1.377340	1.376880	1.377300
2026.01.06 02:00:00	1.377300	1.377600	1.377140	1.377150
2026.01.06 03:00:00	1.377150	1.377460	1.376370	1.376390
2026.01.06 04:00:00	1.376390	1.376960	1.376110	1.376150
2026.01.06 05:00:00	1.376150	1.376610	1.376050	1.376600
2026.01.06 06:00:00	1.376600	1.376690	1.375990	1.376360
2026.01.06 07:00:00	1.376360	1.376650	1.376040	1.376360
2026.01.06 08:00:00	1.376360	1.376570	1.375500	1.375640
2026.01.06 09:00:00	1.375640	1.376560	1.375120	1.376260
2026.01.06 10:00:00	1.376260	1.376500	1.375350	1.376190
2026.01.06 11:00:00	1.376190	1.376980	1.376100	1.376780
2026.01.06 12:00:00	1.376780	1.377120	1.376000	1.376220
