Time	Open	High	Low	Close
2026.01.02 01:00:00	1.847800	1.849180	1.847420	1.848090
2026.01.02 02:00:00	1.848090	1.848540	1.847760	1.848380
2026.01.02 03:00:00	1.848390	1.848880	1.848020	1.848750
2026.01.02 04:00:00	1.848760	1.848990	1.848470	1.848870
2026.01.02 05:00:00	1.848890	1.849000	1.848370	1.848720
2026.01.02 06:00:00	1.848730	1.848940	1.848340	1.848510
2026.01.02 07:00:00	1.848510	1.848580	1.847520	1.847620
2026.01.02 08:00:00	1.847570	1.847700	1.846430	1.846980
2026.01.02 09:00:00	1.847010	1.847010	1.843880	1.844700
2026.01.02 10:00:00	1.844700	1.845620	1.844010	1.844990
2026.01.02 11:00:00	1.844990	1.846690	1.844950	1.846040
2026.01.02 12:00:00	1.846040	1.846370	1.844900	1.845410
2026.01.02 13:00:00	1.845410	1.845510	1.843280	1.844780
2026.01.02 14:00:00	1.844770	1.846720	1.844710	1.846500
2026.01.02 15:00:00	1.846500	1.849110	1.845820	1.848870
2026.01.02 16:00:00	1.848870	1.850440	1.848610	1.850160
2026.01.02 17:00:00	1.850130	1.852820	1.850070	1.852160
2026.01.02 18:00:00	1.852160	1.852790	1.850870	1.851540
2026.01.02 19:00:00	1.851540	1.851570	1.849260	1.849650
2026.01.02 20:00:00	1.849650	1.849750	1.848140	1.848680
2026.01.02 21:00:00	1.848680	1.848710	1.847420	1.847630
2026.01.02 22:00:00	1.847630	1.848130	1.847270	1.847810
2026.01.02 23:00:00	1.847800	1.848660	1.847280	1.847600
2026.01.05 00:00:00	1.847350	1.847950	1.846570	1.847310
2026.01.05 01:00:00	1.846860	1.848940	1.846690	1.847190
2026.01.05 02:00:00	1.847190	1.848410	1.847150	1.847850
2026.01.05 03:00:00	1.847850	1.848190	1.847220	1.847470
2026.01.05 04:00:00	1.847470	1.848010	1.846050	1.846650
2026.01.05 05:00:00	1.846660	1.847430	1.846320	1.847000
2026.01.05 06:00:00	1.847000	1.849040	1.846820	1.848640
2026.01.05 07:00:00	1.848650	1.849150	1.848150	1.848700
2026.01.05 08:00:00	1.848700	1.849730	1.848100	1.849500
2026.01.05 09:00:00	1.849500	1.850160	1.848830	1.849250
2026.01.05 10:00:00	1.849250	1.850900	1.848230	1.850340
2026.01.05 11:00:00	1.850330	1.852100	1.850080	1.851980
2026.01.05 12:00:00	1.851960	1.853650	1.851120	1.853410
2026.01.05 13:00:00	1.853410	1.854070	1.852610	1.852810
2026.01.05 14:00:00	1.852810	1.855020	1.852340	1.854440
2026.01.05 15:00:00	1.854450	1.856740	1.853740	1.856170
2026.01.05 16:00:00	1.856160	1.858080	1.854500	1.857330
2026.01.05 17:00:00	1.856980	1.857990	1.854940	1.856280
2026.01.05 18:00:00	1.856280	1.860640	1.856150	1.860610
2026.01.05 19:00:00	1.860610	1.862660	1.860550	1.862140
2026.01.05 20:00:00	1.862120	1.863000	1.861250	1.863000
2026.01.05 21:00:00	1.863020	1.863400	1.862500	1.862930
2026.01.05 22:00:00	1.862910	1.864430	1.862870	1.863720
2026.01.05 23:00:00	1.863710	1.865160	1.863270	1.864500
2026.01.06 00:00:00	1.864210	1.864680	1.863330	1.864270
2026.01.06 01:00:00	1.864260	1.864570	1.863660	1.863700
2026.01.06 02:00:00	1.863700	1.864170	1.863270	1.863950
2026.01.06 03:00:00	1.863950	1.864630	1.863690	1.864370
2026.01.06 04:00:00	1.864370	1.865720	1.864270	1.865490
2026.01.06 05:00:00	1.865490	1.866460	1.864920	1.866420
2026.01.06 06:00:00	1.866420	1.866650	1.865310	1.865650
2026.01.06 07:00:00	1.865650	1.865880	1.864430	1.864800
