Snapshot_Time,Direction,RTM,ADX,D1,FLOW,CRISIS,HighAlert,KILLER,MktPhase,MktRatio,Spike,SpikeScore,RTM_Arrow,ADX_Val,EffRatio_H4,Flow_Score,Trend_Score,D1_Status,Zombie_Zone,Regime,Session,Spread_Points,EURGBP_l_Rule
2026.01.05 07:00,SELL,Green,Green,Green,Yellow,Green,OK,Green,Range,0.633,Normal,1.085,UP,30.4,0.303,+2.00,-29.3,OK,2,Trending,Tokyo,18,Run
2026.01.05 08:00,SELL,Green,Green,Green,Yellow,Green,OK,Green,Range,0.633,Normal,1.044,UP,30.4,0.303,+2.00,-30.3,OK,2,Trending,Tokyo-London,19,Run
2026.01.05 09:00,SELL,Red,Green,Green,Yellow,Green,OK,Green,Range,0.633,Normal,1.550,DN,30.4,0.303,+2.00,-19.5,OK,2,Trending,London,18,Run
2026.01.05 10:00,SELL,Green,Green,Green,Yellow,Green,OK,Green,Range,0.633,Normal,1.230,UP,30.4,0.303,+2.00,-27.4,OK,2,Trending,London,15,Run
2026.01.05 11:00,SELL,Green,Green,Green,Yellow,Green,OK,Green,Range,0.633,Warning,2.323,UP,34.5,0.440,+0.00,-47.1,OK,1,Trending,London,15,Run
2026.01.05 12:00,SELL,Green,Green,Green,Yellow,Green,OK,Green,Range,0.633,Normal,1.827,UP,34.5,0.440,+0.00,-56.1,OK,1,Trending,London,16,Run
2026.01.05 13:00,SELL,Green,Green,Green,Yellow,Green,OK,Green,Range,0.633,Normal,1.740,FL,34.5,0.440,+0.00,-58.7,OK,1,Trending,London-NewYork,16,Run
2026.01.05 14:00,SELL,Green,Green,Green,Yellow,Green,OK,Green,Range,0.633,Normal,1.748,UP,34.5,0.440,+0.00,-64.7,OK,1,Trending,London-NewYork,15,Run
2026.01.05 15:00,SELL,Red,Green,Green,Yellow,Green,OK,Green,Range,0.633,Normal,1.604,DN,39.7,0.506,+0.00,-54.5,OK,1,Trending,London-NewYork,18,Run
2026.01.05 16:00,SELL,Green,Green,Green,Yellow,Green,OK,Green,Range,0.633,Normal,1.437,UP,39.7,0.506,+2.00,-60.7,OK,1,Trending,London-NewYork,15,Run
2026.01.05 17:00,SELL,Yellow,Green,Green,Yellow,Green,OK,Green,Range,0.633,Normal,1.360,FL,39.7,0.506,+2.00,-64.6,OK,1,Trending,New York,44,Run
2026.01.05 18:00,SELL,Green,Green,Green,Yellow,Green,OK,Green,Range,0.633,Normal,1.529,UP,39.7,0.506,+2.00,-71.5,OK,1,Trending,New York,16,Run
2026.01.05 19:00,SELL,Green,Green,Green,Yellow,Green,OK,Green,Range,0.633,Normal,1.403,UP,44.9,0.827,+0.00,-74.2,OK,1,Trending,New York,15,Run
2026.01.05 20:00,SELL,Red,Green,Green,Green,Green,OK,Green,Range,0.633,Normal,1.367,DN,44.9,0.827,+7.00,-66.1,OK,1,Trending,New York,15,Run
2026.01.05 21:00,SELL,Yellow,Green,Green,Green,Green,OK,Green,Range,0.633,Normal,1.324,FL,44.9,0.827,+7.00,-63.7,OK,1,Trending,New York,19,Run
2026.01.05 22:00,SELL,Green,Green,Green,Green,Green,OK,Green,Range,0.633,Normal,1.508,UP,44.9,0.827,+7.00,-63.5,OK,1,Trending,Off-Hours,16,Run
2026.01.05 23:00,SELL,Green,Green,Green,Yellow,Green,OK,Green,Range,0.726,Normal,0.962,UP,49.5,0.818,+3.00,-65.4,OK,1,Trending,Off-Hours,16,Run
2026.01.06 00:00,SELL,Green,Green,Green,Yellow,Green,OK,Green,Range,0.726,Normal,0.913,UP,49.5,0.818,+3.00,-63.5,OK,1,Trending,Tokyo,50,Run
2026.01.06 01:00,SELL,Green,Green,Green,Yellow,Green,OK,Green,Range,0.726,Normal,1.330,UP,49.5,0.818,+3.00,-56.5,OK,1,Trending,Tokyo,37,Run
2026.01.06 02:00,SELL,Green,Green,Green,Yellow,Green,OK,Green,Range,0.726,Normal,0.853,UP,49.5,0.818,+3.00,-55.0,OK,1,Trending,Tokyo,19,Run
2026.01.06 03:00,SELL,Green,Green,Green,Yellow,Green,OK,Green,Range,0.726,Normal,1.177,UP,53.8,0.799,+3.00,-53.4,OK,1,Trending,Tokyo,18,Run
2026.01.06 04:00,SELL,Yellow,Green,Green,Green,Green,OK,Green,Range,0.726,Normal,1.605,FL,53.8,0.799,+5.00,-48.3,OK,1,Trending,Tokyo,17,Run
2026.01.06 05:00,SELL,Green,Green,Green,Green,Green,OK,Green,Range,0.726,Normal,1.322,UP,53.8,0.799,+5.00,-52.1,OK,1,Trending,Tokyo,18,Run
2026.01.06 06:00,SELL,Green,Green,Green,Green,Green,OK,Green,Range,0.726,Normal,1.087,UP,53.8,0.799,+5.00,-48.2,OK,1,Trending,Tokyo,19,Run
2026.01.06 07:00,SELL,Green,Green,Green,Yellow,Green,OK,Green,Range,0.726,Normal,1.077,UP,55.3,0.785,+2.00,-46.4,OK,1,Trending,Tokyo,16,Run
2026.01.06 08:00,SELL,Green,Green,Green,Yellow,Green,OK,Green,Range,0.726,Normal,1.489,UP,55.3,0.785,+2.00,-42.4,OK,1,Trending,Tokyo-London,17,Run
2026.01.06 09:00,SELL,Green,Green,Green,Yellow,Green,OK,Green,Range,0.726,Normal,1.520,UP,55.3,0.785,+2.00,-44.9,OK,1,Trending,London,15,Run
2026.01.06 10:00,SELL,Yellow,Green,Green,Yellow,Green,OK,Green,Range,0.726,Normal,1.315,FL,55.3,0.785,+2.00,-46.8,OK,1,Trending,London,15,Run
2026.01.06 11:00,SELL,Red,Green,Green,Yellow,Green,OK,Green,Range,0.726,Normal,1.744,DN,57.5,0.785,+2.00,-44.3,OK,1,Trending,London,15,Run
2026.01.06 12:00,SELL,Red,Green,Green,Yellow,Green,OK,Green,Range,0.726,Normal,1.796,DN,57.5,0.785,+2.00,-41.4,OK,1,Trending,London,18,Run
2026.01.06 13:00,SELL,Red,Green,Green,Yellow,Green,OK,Green,Range,0.726,Normal,1.749,DN,57.5,0.785,+2.00,-36.6,OK,1,Trending,London-NewYork,16,Run
2026.01.06 14:00,SELL,Red,Green,Green,Yellow,Green,OK,Green,Range,0.726,Normal,1.630,DN,57.5,0.785,+2.00,-33.2,OK,1,Trending,London-NewYork,17,Run
2026.01.06 15:00,SELL,Yellow,Green,Green,Yellow,Green,OK,Green,Range,0.726,Normal,1.461,DN,57.0,0.727,+0.00,-34.1,OK,1,Trending,London-NewYork,16,Run
2026.01.06 16:00,SELL,Red,Green,Green,Yellow,Green,OK,Green,Range,0.726,Warning,2.004,DN,57.0,0.727,-2.00,-36.7,OK,1,Trending,London-NewYork,15,Run
2026.01.06 17:00,SELL,Red,Green,Green,Yellow,Green,OK,Green,Range,0.726,Normal,1.352,DN,57.0,0.727,-2.00,-34.6,OK,1,Trending,New York,16,Run
2026.01.06 18:00,SELL,Red,Green,Green,Yellow,Green,OK,Green,Range,0.726,Normal,1.740,DN,57.0,0.727,-2.00,-30.4,OK,1,Trending,New York,17,Run
2026.01.06 19:00,SELL,Yellow,Green,Green,Yellow,Green,OK,Green,Range,0.726,Normal,0.991,FL,56.6,0.664,-2.00,-31.0,OK,1,Trending,New York,18,Run
2026.01.06 20:00,SELL,Green,Green,Green,Yellow,Green,OK,Green,Range,0.726,Normal,1.353,FL,56.6,0.664,-2.00,-33.2,OK,1,Trending,New York,17,Run
2026.01.06 21:00,SELL,Yellow,Green,Green,Yellow,Green,OK,Green,Range,0.726,Normal,0.965,FL,56.6,0.664,-2.00,-33.1,OK,1,Trending,New York,15,Run
2026.01.06 22:00,SELL,Yellow,Green,Green,Yellow,Green,OK,Green,Range,0.726,Normal,1.175,FL,56.6,0.664,-2.00,-34.2,OK,1,Trending,Off-Hours,17,Run
2026.01.06 23:00,SELL,Green,Green,Green,Yellow,Green,OK,Green,Range,0.695,Normal,0.861,UP,56.2,0.673,+1.00,-35.2,OK,1,Trending,Off-Hours,19,Run
2026.01.07 00:00,SELL,Yellow,Green,Green,Yellow,Green,OK,Green,Range,0.695,Normal,0.881,FL,56.2,0.673,-2.00,-34.6,OK,1,Trending,Tokyo,40,Run
2026.01.07 01:00,SELL,Green,Green,Green,Yellow,Green,OK,Green,Range,0.695,Normal,0.886,UP,56.2,0.673,-2.00,-33.0,OK,1,Trending,Tokyo,27,Run
2026.01.07 02:00,SELL,Yellow,Green,Green,Yellow,Green,OK,Green,Range,0.695,Normal,1.135,DN,56.2,0.673,-2.00,-30.6,OK,1,Trending,Tokyo,18,Run
2026.01.07 03:00,SELL,Green,Green,Green,Yellow,Green,OK,Green,Range,0.695,Normal,0.806,UP,57.2,0.692,-2.00,-29.3,OK,1,Trending,Tokyo,18,Run
