Time;Open;High;Low;Close;TickVolume;RealVolume;Spread;AskClose
2026.01.02 01:00:00;0.871850;0.872060;0.871520;0.872030;778;0;12;0.872150
2026.01.02 02:00:00;0.872030;0.872230;0.871850;0.871930;1005;0;12;0.872050
2026.01.02 03:00:00;0.871930;0.872140;0.871870;0.871890;1401;0;15;0.872040
2026.01.02 04:00:00;0.871890;0.871940;0.871720;0.871750;1127;0;14;0.871890
2026.01.02 05:00:00;0.871750;0.872260;0.871740;0.872220;885;0;12;0.872340
2026.01.02 06:00:00;0.872210;0.872260;0.872010;0.872080;910;0;14;0.872220
2026.01.02 07:00:00;0.872080;0.872330;0.871980;0.872220;716;0;13;0.872350
2026.01.02 08:00:00;0.872220;0.872430;0.871810;0.871890;1259;0;13;0.872020
2026.01.02 09:00:00;0.871890;0.872210;0.871440;0.871470;2168;0;14;0.871610
2026.01.02 10:00:00;0.871470;0.871880;0.871210;0.871690;3502;0;12;0.871810
2026.01.02 11:00:00;0.871690;0.871940;0.870960;0.871070;2710;0;13;0.871200
2026.01.02 12:00:00;0.871070;0.871600;0.870710;0.871380;2315;0;12;0.871500
2026.01.02 13:00:00;0.871380;0.872300;0.871160;0.872020;2350;0;12;0.872140
2026.01.02 14:00:00;0.872030;0.872450;0.871660;0.871850;2207;0;12;0.871970
2026.01.02 15:00:00;0.871850;0.872080;0.870740;0.870900;2747;0;12;0.871020
2026.01.02 16:00:00;0.870920;0.871470;0.870540;0.870980;3211;0;12;0.871100
2026.01.02 17:00:00;0.870980;0.871160;0.869970;0.870540;4522;0;12;0.870660
2026.01.02 18:00:00;0.870540;0.870940;0.870290;0.870790;3804;0;12;0.870910
2026.01.02 19:00:00;0.870800;0.871300;0.870550;0.871270;2297;0;12;0.871390
2026.01.02 20:00:00;0.871270;0.871340;0.870910;0.871140;2137;0;12;0.871260
2026.01.02 21:00:00;0.871140;0.871240;0.870830;0.871200;1929;0;13;0.871330
2026.01.02 22:00:00;0.871200;0.871230;0.870620;0.870660;1705;0;13;0.870790
2026.01.02 23:00:00;0.870660;0.870770;0.870320;0.870370;1441;0;13;0.870500
2026.01.05 00:00:00;0.870900;0.871040;0.870580;0.870580;621;0;37;0.870950
2026.01.05 01:00:00;0.869960;0.870990;0.869960;0.870990;1791;0;12;0.871110
