Time	Open	High	Low	Close
2026.01.02 01:00:00	2.336920	2.336920	2.336920	2.336920
2026.01.02 02:00:00	2.340030	2.340030	2.340030	2.340030
2026.01.02 03:00:00	2.339310	2.339310	2.339310	2.339310
2026.01.02 04:00:00	2.338550	2.338550	2.338550	2.338550
2026.01.02 05:00:00	2.338730	2.338730	2.338730	2.338730
2026.01.02 06:00:00	2.337800	2.337800	2.337800	2.337800
2026.01.02 07:00:00	2.339740	2.339740	2.339740	2.339740
2026.01.02 08:00:00	2.338970	2.338970	2.338970	2.338970
2026.01.02 09:00:00	2.339660	2.339660	2.339660	2.339660
2026.01.02 10:00:00	2.335740	2.335740	2.335740	2.335740
2026.01.02 11:00:00	2.331900	2.331900	2.331900	2.331900
2026.01.02 12:00:00	2.331980	2.331980	2.331980	2.331980
2026.01.02 13:00:00	2.330050	2.330050	2.330050	2.330050
2026.01.02 14:00:00	2.329540	2.329540	2.329540	2.329540
2026.01.02 15:00:00	2.330580	2.330580	2.330580	2.330580
2026.01.02 16:00:00	2.334020	2.334020	2.334020	2.334020
2026.01.02 17:00:00	2.331930	2.331930	2.331930	2.331930
2026.01.02 18:00:00	2.338360	2.338360	2.338360	2.338360
2026.01.02 19:00:00	2.337640	2.337640	2.337640	2.337640
2026.01.02 20:00:00	2.334150	2.334150	2.334150	2.334150
2026.01.02 21:00:00	2.334480	2.334480	2.334480	2.334480
2026.01.02 22:00:00	2.333030	2.333030	2.333030	2.333030
2026.01.02 23:00:00	2.333040	2.333040	2.333040	2.333040
2026.01.05 01:00:00	2.334930	2.334930	2.334930	2.334930
2026.01.05 02:00:00	2.334950	2.334950	2.334950	2.334950
2026.01.05 03:00:00	2.335970	2.335970	2.335970	2.335970
2026.01.05 04:00:00	2.334600	2.334600	2.334600	2.334600
2026.01.05 05:00:00	2.331660	2.331660	2.331660	2.331660
2026.01.05 06:00:00	2.333090	2.333090	2.333090	2.333090
2026.01.05 07:00:00	2.334370	2.334370	2.334370	2.334370
2026.01.05 08:00:00	2.333350	2.333350	2.333350	2.333350
2026.01.05 09:00:00	2.333830	2.333830	2.333830	2.333830
2026.01.05 10:00:00	2.334540	2.334540	2.334540	2.334540
2026.01.05 11:00:00	2.333890	2.333890	2.333890	2.333890
2026.01.05 12:00:00	2.337840	2.337840	2.337840	2.337840
2026.01.05 13:00:00	2.336610	2.336610	2.336610	2.336610
2026.01.05 14:00:00	2.337480	2.337480	2.337480	2.337480
2026.01.05 15:00:00	2.337530	2.337530	2.337530	2.337530
2026.01.05 16:00:00	2.336850	2.336850	2.336850	2.336850
2026.01.05 17:00:00	2.336760	2.336760	2.336760	2.336760
2026.01.05 18:00:00	2.335720	2.335720	2.335720	2.335720
2026.01.05 19:00:00	2.336700	2.336700	2.336700	2.336700
2026.01.05 20:00:00	2.338600	2.338600	2.338600	2.338600
2026.01.05 21:00:00	2.338970	2.338970	2.338970	2.338970
2026.01.05 22:00:00	2.338550	2.338550	2.338550	2.338550
2026.01.05 23:00:00	2.339330	2.339330	2.339330	2.339330
2026.01.06 00:00:00	2.339140	2.339140	2.339140	2.339140
2026.01.06 01:00:00	2.339200	2.339200	2.339200	2.339200
2026.01.06 02:00:00	2.338790	2.338790	2.338790	2.338790
2026.01.06 03:00:00	2.338620	2.338620	2.338620	2.338620
2026.01.06 04:00:00	2.337670	2.337670	2.337670	2.337670
2026.01.06 05:00:00	2.336070	2.336070	2.336070	2.336070
2026.01.06 06:00:00	2.338460	2.338460	2.338460	2.338460
2026.01.06 07:00:00	2.337470	2.337470	2.337470	2.337470
2026.01.06 08:00:00	2.336170	2.336170	2.336170	2.336170
2026.01.06 09:00:00	2.334640	2.334640	2.334640	2.334640
2026.01.06 10:00:00	2.334430	2.334430	2.334430	2.334430
2026.01.06 11:00:00	2.337990	2.337990	2.337990	2.337990
2026.01.06 12:00:00	2.337060	2.337060	2.337060	2.337060
2026.01.06 13:00:00	2.337410	2.337410	2.337410	2.337410
2026.01.06 14:00:00	2.335720	2.335720	2.335720	2.335720
2026.01.06 15:00:00	2.336240	2.336240	2.336240	2.336240
2026.01.06 16:00:00	2.335510	2.335510	2.335510	2.335510
2026.01.06 17:00:00	2.334870	2.334870	2.334870	2.334870
2026.01.06 18:00:00	2.337890	2.337890	2.337890	2.337890
2026.01.06 19:00:00	2.335440	2.335440	2.335440	2.335440
2026.01.06 20:00:00	2.335940	2.335940	2.335940	2.335940
2026.01.06 21:00:00	2.335080	2.335080	2.335080	2.335080
2026.01.06 22:00:00	2.334740	2.334740	2.334740	2.334740
2026.01.06 23:00:00	2.333650	2.333650	2.333650	2.333650
2026.01.07 00:00:00	2.333210	2.333210	2.333210	2.333210
2026.01.07 01:00:00	2.333080	2.333080	2.333080	2.333080
2026.01.07 02:00:00	2.335040	2.335040	2.335040	2.335040
2026.01.07 03:00:00	2.334160	2.334160	2.334160	2.334160
2026.01.07 04:00:00	2.333460	2.333460	2.333460	2.333460
2026.01.07 05:00:00	2.334660	2.334660	2.334660	2.334660
2026.01.07 06:00:00	2.335060	2.335060	2.335060	2.335060
2026.01.07 07:00:00	2.335880	2.335880	2.335880	2.335880
2026.01.07 08:00:00	2.336600	2.336600	2.336600	2.336600
2026.01.07 09:00:00	2.336510	2.336510	2.336510	2.336510
2026.01.07 10:00:00	2.333770	2.333770	2.333770	2.333770
2026.01.07 11:00:00	2.331960	2.331960	2.331960	2.331960
2026.01.07 12:00:00	2.331560	2.331560	2.331560	2.331560
2026.01.07 13:00:00	2.331530	2.331530	2.331530	2.331530
2026.01.07 14:00:00	2.331140	2.331140	2.331140	2.331140
2026.01.07 15:00:00	2.331040	2.331040	2.331040	2.331040
2026.01.07 16:00:00	2.329790	2.329790	2.329790	2.329790
2026.01.07 17:00:00	2.331010	2.331010	2.331010	2.331010
2026.01.07 18:00:00	2.331920	2.331920	2.331920	2.331920
2026.01.07 19:00:00	2.331250	2.331250	2.331250	2.331250
2026.01.07 20:00:00	2.330450	2.330450	2.330450	2.330450
2026.01.07 21:00:00	2.329370	2.329370	2.329370	2.329370
2026.01.07 22:00:00	2.330190	2.330190	2.330190	2.330190
2026.01.07 23:00:00	2.331540	2.331540	2.331540	2.331540
2026.01.08 00:00:00	2.330840	2.330840	2.330840	2.330840
2026.01.08 01:00:00	2.330730	2.330730	2.330730	2.330730
2026.01.08 02:00:00	2.331010	2.331010	2.331010	2.331010
2026.01.08 03:00:00	2.333290	2.333290	2.333290	2.333290
2026.01.08 04:00:00	2.331890	2.331890	2.331890	2.331890
2026.01.08 05:00:00	2.333980	2.333980	2.333980	2.333980
2026.01.08 06:00:00	2.333890	2.333890	2.333890	2.333890
2026.01.08 07:00:00	2.334770	2.334770	2.334770	2.334770
2026.01.08 08:00:00	2.335320	2.335320	2.335320	2.335320
2026.01.08 09:00:00	2.337430	2.337430	2.337430	2.337430
2026.01.08 10:00:00	2.337180	2.337180	2.337180	2.337180
