Time	Open	High	Low	Close
2026.01.02 01:00:00	0.789640	0.789640	0.789640	0.789640
2026.01.02 02:00:00	0.789700	0.789700	0.789700	0.789700
2026.01.02 03:00:00	0.790040	0.790040	0.790040	0.790040
2026.01.02 04:00:00	0.790500	0.790500	0.790500	0.790500
2026.01.02 05:00:00	0.790480	0.790480	0.790480	0.790480
2026.01.02 06:00:00	0.790690	0.790690	0.790690	0.790690
2026.01.02 07:00:00	0.790000	0.790000	0.790000	0.790000
2026.01.02 08:00:00	0.789810	0.789810	0.789810	0.789810
2026.01.02 09:00:00	0.789380	0.789380	0.789380	0.789380
2026.01.02 10:00:00	0.789680	0.789680	0.789680	0.789680
2026.01.02 11:00:00	0.791100	0.791100	0.791100	0.791100
2026.01.02 12:00:00	0.791540	0.791540	0.791540	0.791540
2026.01.02 13:00:00	0.791940	0.791940	0.791940	0.791940
2026.01.02 14:00:00	0.791840	0.791840	0.791840	0.791840
2026.01.02 15:00:00	0.792230	0.792230	0.792230	0.792230
2026.01.02 16:00:00	0.792090	0.792090	0.792090	0.792090
2026.01.02 17:00:00	0.793330	0.793330	0.793330	0.793330
2026.01.02 18:00:00	0.792030	0.792030	0.792030	0.792030
2026.01.02 19:00:00	0.791950	0.791950	0.791950	0.791950
2026.01.02 20:00:00	0.792340	0.792340	0.792340	0.792340
2026.01.02 21:00:00	0.791850	0.791850	0.791850	0.791850
2026.01.02 22:00:00	0.791840	0.791840	0.791840	0.791840
2026.01.02 23:00:00	0.791940	0.791940	0.791940	0.791940
2026.01.05 00:00:00	0.791300	0.791300	0.791300	0.791300
2026.01.05 01:00:00	0.790520	0.790520	0.790520	0.790520
2026.01.05 02:00:00	0.791030	0.791030	0.791030	0.791030
2026.01.05 03:00:00	0.790950	0.790950	0.790950	0.790950
2026.01.05 04:00:00	0.791240	0.791240	0.791240	0.791240
2026.01.05 05:00:00	0.791920	0.791920	0.791920	0.791920
2026.01.05 06:00:00	0.791570	0.791570	0.791570	0.791570
2026.01.05 07:00:00	0.791810	0.791810	0.791810	0.791810
2026.01.05 08:00:00	0.792240	0.792240	0.792240	0.792240
2026.01.05 09:00:00	0.792390	0.792390	0.792390	0.792390
2026.01.05 10:00:00	0.792040	0.792040	0.792040	0.792040
2026.01.05 11:00:00	0.792750	0.792750	0.792750	0.792750
2026.01.05 12:00:00	0.792090	0.792090	0.792090	0.792090
2026.01.05 13:00:00	0.793120	0.793120	0.793120	0.793120
2026.01.05 14:00:00	0.792580	0.792580	0.792580	0.792580
2026.01.05 15:00:00	0.793270	0.793270	0.793270	0.793270
2026.01.05 16:00:00	0.794210	0.794210	0.794210	0.794210
2026.01.05 17:00:00	0.794570	0.794570	0.794570	0.794570
2026.01.05 18:00:00	0.794670	0.794670	0.794670	0.794670
2026.01.05 19:00:00	0.796190	0.796190	0.796190	0.796190
2026.01.05 20:00:00	0.796190	0.796190	0.796190	0.796190
2026.01.05 21:00:00	0.796410	0.796410	0.796410	0.796410
2026.01.05 22:00:00	0.796490	0.796490	0.796490	0.796490
2026.01.05 23:00:00	0.796560	0.796560	0.796560	0.796560
2026.01.06 00:00:00	0.796730	0.796730	0.796730	0.796730
2026.01.06 01:00:00	0.796740	0.796740	0.796740	0.796740
2026.01.06 02:00:00	0.796780	0.796780	0.796780	0.796780
2026.01.06 03:00:00	0.796950	0.796950	0.796950	0.796950
2026.01.06 04:00:00	0.797460	0.797460	0.797460	0.797460
2026.01.06 05:00:00	0.798490	0.798490	0.798490	0.798490
2026.01.06 06:00:00	0.798040	0.798040	0.798040	0.798040
2026.01.06 07:00:00	0.798100	0.798100	0.798100	0.798100
2026.01.06 08:00:00	0.798150	0.798150	0.798150	0.798150
2026.01.06 09:00:00	0.798600	0.798600	0.798600	0.798600
2026.01.06 10:00:00	0.798730	0.798730	0.798730	0.798730
2026.01.06 11:00:00	0.797670	0.797670	0.797670	0.797670
2026.01.06 12:00:00	0.797270	0.797270	0.797270	0.797270
2026.01.06 13:00:00	0.796660	0.796660	0.796660	0.796660
2026.01.06 14:00:00	0.796970	0.796970	0.796970	0.796970
2026.01.06 15:00:00	0.796890	0.796890	0.796890	0.796890
2026.01.06 16:00:00	0.797320	0.797320	0.797320	0.797320
2026.01.06 17:00:00	0.797260	0.797260	0.797260	0.797260
2026.01.06 18:00:00	0.796380	0.796380	0.796380	0.796380
2026.01.06 19:00:00	0.796720	0.796720	0.796720	0.796720
2026.01.06 20:00:00	0.797410	0.797410	0.797410	0.797410
2026.01.06 21:00:00	0.797430	0.797430	0.797430	0.797430
2026.01.06 22:00:00	0.798060	0.798060	0.798060	0.798060
2026.01.06 23:00:00	0.798640	0.798640	0.798640	0.798640
2026.01.07 00:00:00	0.798790	0.798790	0.798790	0.798790
2026.01.07 01:00:00	0.799290	0.799290	0.799290	0.799290
2026.01.07 02:00:00	0.798590	0.798590	0.798590	0.798590
2026.01.07 03:00:00	0.799190	0.799190	0.799190	0.799190
2026.01.07 04:00:00	0.799700	0.799700	0.799700	0.799700
2026.01.07 05:00:00	0.799250	0.799250	0.799250	0.799250
2026.01.07 06:00:00	0.799500	0.799500	0.799500	0.799500
2026.01.07 07:00:00	0.798400	0.798400	0.798400	0.798400
2026.01.07 08:00:00	0.798470	0.798470	0.798470	0.798470
2026.01.07 09:00:00	0.798770	0.798770	0.798770	0.798770
2026.01.07 10:00:00	0.799150	0.799150	0.799150	0.799150
2026.01.07 11:00:00	0.799520	0.799520	0.799520	0.799520
2026.01.07 12:00:00	0.799360	0.799360	0.799360	0.799360
2026.01.07 13:00:00	0.799110	0.799110	0.799110	0.799110
2026.01.07 14:00:00	0.799410	0.799410	0.799410	0.799410
2026.01.07 15:00:00	0.799030	0.799030	0.799030	0.799030
2026.01.07 16:00:00	0.798970	0.798970	0.798970	0.798970
2026.01.07 17:00:00	0.799460	0.799460	0.799460	0.799460
2026.01.07 18:00:00	0.798340	0.798340	0.798340	0.798340
2026.01.07 19:00:00	0.799060	0.799060	0.799060	0.799060
2026.01.07 20:00:00	0.799450	0.799450	0.799450	0.799450
2026.01.07 21:00:00	0.799980	0.799980	0.799980	0.799980
2026.01.07 22:00:00	0.799760	0.799760	0.799760	0.799760
2026.01.07 23:00:00	0.799690	0.799690	0.799690	0.799690
2026.01.08 00:00:00	0.799690	0.799690	0.799690	0.799690
2026.01.08 01:00:00	0.799790	0.799790	0.799790	0.799790
2026.01.08 02:00:00	0.799930	0.799930	0.799930	0.799930
2026.01.08 03:00:00	0.799280	0.799280	0.799280	0.799280
2026.01.08 04:00:00	0.799770	0.799770	0.799770	0.799770
2026.01.08 05:00:00	0.799240	0.799240	0.799240	0.799240
2026.01.08 06:00:00	0.799380	0.799380	0.799380	0.799380
2026.01.08 07:00:00	0.799140	0.799140	0.799140	0.799140
2026.01.08 08:00:00	0.798960	0.798960	0.798960	0.798960
2026.01.08 09:00:00	0.798340	0.798340	0.798340	0.798340
2026.01.08 10:00:00	0.798270	0.798270	0.798270	0.798270
2026.01.08 11:00:00	0.797810	0.797810	0.797810	0.797810
2026.01.08 12:00:00	0.797130	0.797130	0.797130	0.797130
2026.01.08 13:00:00	0.797310	0.797310	0.797310	0.797310
2026.01.08 14:00:00	0.797160	0.797160	0.797160	0.797160
2026.01.08 15:00:00	0.796630	0.796630	0.796630	0.796630
2026.01.08 16:00:00	0.796340	0.796340	0.796340	0.796340
2026.01.08 17:00:00	0.796540	0.796540	0.796540	0.796540
2026.01.08 18:00:00	0.797380	0.797380	0.797380	0.797380
2026.01.08 19:00:00	0.797010	0.797010	0.797010	0.797010
2026.01.08 20:00:00	0.797220	0.797220	0.797220	0.797220
2026.01.08 21:00:00	0.796850	0.796850	0.796850	0.796850
2026.01.08 22:00:00	0.796790	0.796790	0.796790	0.796790
2026.01.08 23:00:00	0.796740	0.796740	0.796740	0.796740
2026.01.09 00:00:00	0.796880	0.796880	0.796880	0.796880
2026.01.09 01:00:00	0.797190	0.797190	0.797190	0.797190
2026.01.09 02:00:00	0.797090	0.797090	0.797090	0.797090
2026.01.09 03:00:00	0.796690	0.796690	0.796690	0.796690
2026.01.09 04:00:00	0.796620	0.796620	0.796620	0.796620
2026.01.09 05:00:00	0.796650	0.796650	0.796650	0.796650
2026.01.09 06:00:00	0.796440	0.796440	0.796440	0.796440
2026.01.09 07:00:00	0.796760	0.796760	0.796760	0.796760
2026.01.09 08:00:00	0.796200	0.796200	0.796200	0.796200
2026.01.09 09:00:00	0.795800	0.795800	0.795800	0.795800
2026.01.09 10:00:00	0.795090	0.795090	0.795090	0.795090
2026.01.09 11:00:00	0.794950	0.794950	0.794950	0.794950
2026.01.09 12:00:00	0.794690	0.794690	0.794690	0.794690
2026.01.09 13:00:00	0.794470	0.794470	0.794470	0.794470
2026.01.09 14:00:00	0.794400	0.794400	0.794400	0.794400
2026.01.09 15:00:00	0.794520	0.794520	0.794520	0.794520
2026.01.09 16:00:00	0.795870	0.795870	0.795870	0.795870
2026.01.09 17:00:00	0.795130	0.795130	0.795130	0.795130
2026.01.09 18:00:00	0.795990	0.795990	0.795990	0.795990
2026.01.09 19:00:00	0.796040	0.796040	0.796040	0.796040
2026.01.09 20:00:00	0.796020	0.796020	0.796020	0.796020
2026.01.09 21:00:00	0.796580	0.796580	0.796580	0.796580
2026.01.09 22:00:00	0.796910	0.796910	0.796910	0.796910
2026.01.09 23:00:00	0.797600	0.797600	0.797600	0.797600
2026.01.12 00:00:00	0.796280	0.796280	0.796280	0.796280
2026.01.12 01:00:00	0.797430	0.797430	0.797430	0.797430
2026.01.12 02:00:00	0.796950	0.796950	0.796950	0.796950
2026.01.12 03:00:00	0.797940	0.797940	0.797940	0.797940
2026.01.12 04:00:00	0.798120	0.798120	0.798120	0.798120
2026.01.12 05:00:00	0.797900	0.797900	0.797900	0.797900
2026.01.12 06:00:00	0.798100	0.798100	0.798100	0.798100
2026.01.12 07:00:00	0.798040	0.798040	0.798040	0.798040
2026.01.12 08:00:00	0.798480	0.798480	0.798480	0.798480
2026.01.12 09:00:00	0.798470	0.798470	0.798470	0.798470
2026.01.12 10:00:00	0.798240	0.798240	0.798240	0.798240
2026.01.12 11:00:00	0.798190	0.798190	0.798190	0.798190
2026.01.12 12:00:00	0.798730	0.798730	0.798730	0.798730
2026.01.12 13:00:00	0.799040	0.799040	0.799040	0.799040
2026.01.12 14:00:00	0.798990	0.798990	0.798990	0.798990
2026.01.12 15:00:00	0.799300	0.799300	0.799300	0.799300
2026.01.12 16:00:00	0.799710	0.799710	0.799710	0.799710
2026.01.12 17:00:00	0.799620	0.799620	0.799620	0.799620
2026.01.12 18:00:00	0.799650	0.799650	0.799650	0.799650
2026.01.12 19:00:00	0.799590	0.799590	0.799590	0.799590
2026.01.12 20:00:00	0.799960	0.799960	0.799960	0.799960
2026.01.12 21:00:00	0.800010	0.800010	0.800010	0.800010
2026.01.12 22:00:00	0.799770	0.799770	0.799770	0.799770
2026.01.12 23:00:00	0.800140	0.800140	0.800140	0.800140
2026.01.13 00:00:00	0.800590	0.800590	0.800590	0.800590
2026.01.13 01:00:00	0.800790	0.800790	0.800790	0.800790
2026.01.13 02:00:00	0.800960	0.800960	0.800960	0.800960
2026.01.13 03:00:00	0.801520	0.801520	0.801520	0.801520
2026.01.13 04:00:00	0.801590	0.801590	0.801590	0.801590
2026.01.13 05:00:00	0.801210	0.801210	0.801210	0.801210
2026.01.13 06:00:00	0.801300	0.801300	0.801300	0.801300
2026.01.13 07:00:00	0.801460	0.801460	0.801460	0.801460
2026.01.13 08:00:00	0.801280	0.801280	0.801280	0.801280
2026.01.13 09:00:00	0.800910	0.800910	0.800910	0.800910
2026.01.13 10:00:00	0.800790	0.800790	0.800790	0.800790
2026.01.13 11:00:00	0.800650	0.800650	0.800650	0.800650
2026.01.13 12:00:00	0.800610	0.800610	0.800610	0.800610
2026.01.13 13:00:00	0.799910	0.799910	0.799910	0.799910
2026.01.13 14:00:00	0.799840	0.799840	0.799840	0.799840
2026.01.13 15:00:00	0.799240	0.799240	0.799240	0.799240
2026.01.13 16:00:00	0.799630	0.799630	0.799630	0.799630
2026.01.13 17:00:00	0.799310	0.799310	0.799310	0.799310
2026.01.13 18:00:00	0.797840	0.797840	0.797840	0.797840
2026.01.13 19:00:00	0.797670	0.797670	0.797670	0.797670
2026.01.13 20:00:00	0.797520	0.797520	0.797520	0.797520
2026.01.13 21:00:00	0.797130	0.797130	0.797130	0.797130
