Time	Open	High	Low	Close
2026.01.02 01:00:00	4.213860	4.213860	4.213860	4.213860
2026.01.02 02:00:00	4.213750	4.213750	4.213750	4.213750
2026.01.02 03:00:00	4.215380	4.215380	4.215380	4.215380
2026.01.02 04:00:00	4.215210	4.215210	4.215210	4.215210
2026.01.02 05:00:00	4.215340	4.215340	4.215340	4.215340
2026.01.02 06:00:00	4.215300	4.215300	4.215300	4.215300
2026.01.02 07:00:00	4.215430	4.215430	4.215430	4.215430
2026.01.02 08:00:00	4.215450	4.215450	4.215450	4.215450
2026.01.02 09:00:00	4.216770	4.216770	4.216770	4.216770
2026.01.02 10:00:00	4.219400	4.219400	4.219400	4.219400
2026.01.02 11:00:00	4.212390	4.212390	4.212390	4.212390
2026.01.02 12:00:00	4.214480	4.214480	4.214480	4.214480
2026.01.02 13:00:00	4.212270	4.212270	4.212270	4.212270
2026.01.02 14:00:00	4.211300	4.211300	4.211300	4.211300
2026.01.02 15:00:00	4.211210	4.211210	4.211210	4.211210
2026.01.02 16:00:00	4.211800	4.211800	4.211800	4.211800
2026.01.02 17:00:00	4.210000	4.210000	4.210000	4.210000
2026.01.02 18:00:00	4.208700	4.208700	4.208700	4.208700
2026.01.02 19:00:00	4.208640	4.208640	4.208640	4.208640
2026.01.02 20:00:00	4.207700	4.207700	4.207700	4.207700
2026.01.02 21:00:00	4.207860	4.207860	4.207860	4.207860
2026.01.02 22:00:00	4.207540	4.207540	4.207540	4.207540
2026.01.02 23:00:00	4.207760	4.207760	4.207760	4.207760
2026.01.05 00:00:00	4.206570	4.206570	4.206570	4.206570
2026.01.05 01:00:00	4.206600	4.206600	4.206600	4.206600
2026.01.05 02:00:00	4.207850	4.207850	4.207850	4.207850
2026.01.05 03:00:00	4.207800	4.207800	4.207800	4.207800
2026.01.05 04:00:00	4.207780	4.207780	4.207780	4.207780
2026.01.05 05:00:00	4.207830	4.207830	4.207830	4.207830
2026.01.05 06:00:00	4.209180	4.209180	4.209180	4.209180
2026.01.05 07:00:00	4.209270	4.209270	4.209270	4.209270
2026.01.05 08:00:00	4.209270	4.209270	4.209270	4.209270
2026.01.05 09:00:00	4.209440	4.209440	4.209440	4.209440
2026.01.05 10:00:00	4.210790	4.210790	4.210790	4.210790
2026.01.05 11:00:00	4.209330	4.209330	4.209330	4.209330
2026.01.05 12:00:00	4.210560	4.210560	4.210560	4.210560
2026.01.05 13:00:00	4.215590	4.215590	4.215590	4.215590
2026.01.05 14:00:00	4.215710	4.215710	4.215710	4.215710
2026.01.05 15:00:00	4.215100	4.215100	4.215100	4.215100
2026.01.05 16:00:00	4.215950	4.215950	4.215950	4.215950
